session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
61aa871c70ba94fee98d2411,5f937384fdbecb149377f59e,APPROVED,2021-12-03 21:07:40.795000,2021-12-03 21:26:47.106000,1146.311,20,18,3,94,2021-12-03 21:59:31.205000,NOCODE,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Female,Yes
61aa87254f02e5ad69d63e41,6149fb285d57641b5d6be834,APPROVED,2021-12-03 21:07:49.051000,2021-12-03 21:24:51.405000,1022.354,20,35,0,100,2021-12-03 21:59:31.299000,NOCODE,Mexico,Mexico,Part-Time,Spanish,"English, Japanese, Spanish",Mexico,Female,Yes
61aa872607bb47490028e2d1,60ecadbc339c0f0e49a9c370,APPROVED,2021-12-03 21:07:50.054000,2021-12-03 21:18:03.194000,613.14,20,48,0,100,2021-12-03 21:59:31.383000,NOCODE,Italy,Italy,Part-Time,Italian,"Arabic, French, Italian, English",Italy,Female,Yes
61aa87301f54bd0b94dcd19c,5fcbb7c267625992a18b37fc,RETURNED,2021-12-03 21:08:00.888000,,421990.050673,21,100,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61aa87331cca0d99b5dd98fa,60e7138f06e0a3ae1cd1999f,APPROVED,2021-12-03 21:08:13.256000,2021-12-03 21:32:03.524000,1430.268,24,38,0,100,2021-12-03 21:59:31.474000,NOCODE,Portugal,Portugal,Part-Time,Portuguese,"Portuguese, English",Portugal,Male,Yes
61aa87355722357e0ae55f7f,60bee63c5958872cfc21ed73,APPROVED,2021-12-03 21:08:18.980000,2021-12-03 21:18:25.179000,606.199,24,34,2,96,2021-12-03 21:59:31.574000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,Yes
61aa8735b0ffd6166a40f88f,5e2c240986f3a3249ea3231c,RETURNED,2021-12-03 21:08:05.322000,,421985.724657,19,228,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61aa8736540bc6c8014f3390,5fbb0453be0cdb981ee08854,APPROVED,2021-12-03 21:08:06.628000,2021-12-03 21:15:22.002000,435.374,28,22,1,99,2021-12-03 21:59:31.660000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
61aa87375b98c8b2130dfcf8,6113bfd0a217fcc1d0922fd1,RETURNED,2021-12-03 21:08:07.597000,,421983.527264,20,21,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61aa873b23b21e5ac66731d3,613a6abd8f010ce9c87a4bc7,APPROVED,2021-12-03 21:08:27.328000,2021-12-03 21:24:06.272000,938.944,23,24,0,100,2021-12-03 21:59:31.756000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Italian, Spanish",Mexico,Female,Yes
61aa87401f54bd0b94dcd19f,6109a88cffdf7a04a7e76503,APPROVED,2021-12-03 21:08:18.716000,2021-12-03 21:17:08.074000,529.358,43,71,0,100,2021-12-03 21:59:31.842000,NOCODE,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
61aa874276de41e0c7fbc88a,613a2c8a53c05725ba2d0a27,RETURNED,2021-12-03 21:08:22.675000,,421968.572179,19,18,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61aa87445942e98ee14a1c78,5de9754e787719023128a036,APPROVED,2021-12-03 21:08:20.551000,2021-12-03 21:16:25.045000,484.494,32,100,0,100,2021-12-03 21:59:31.960000,NOCODE,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Female,No
